layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_domain,right_domain
24,0,0,10,4352.5498046875,0.27856677770614624,125.94683837890625,124.05868530273438,raw,0,0,,,0,0,55,65,56,66,198,283,45,1079,"
", =,N, <<,1,1,1,1,,
24,1,0,116,4603.4326171875,0.28426748514175415,125.94683837890625,128.5782012939453,raw,0,1,,,0,0,55,105,56,106,198,28,45,16,"
",=,N,1,1,1,1,1,,
24,2,2,83,2711.888427734375,0.15777254104614258,131.41915893554688,130.7921600341797,raw,0,1,,,0,0,57,72,58,73,4073,2372,667,15,atal,>>,ia,0,1,1,1,1,,
24,3,4,17,3973.7900390625,0.3098381459712982,122.37102508544922,104.8072738647461,raw,0,0,,,0,0,59,72,60,73,5898,17,220,19, sold,2, ,4,1,1,1,1,,
24,4,4,22,10592.15234375,0.6762572526931763,122.37102508544922,127.99519348144531,raw,0,0,,,0,0,59,77,60,78,5898,25277,220,303, sold, clips, , in,1,1,1,1,,
24,5,4,111,2343.32373046875,0.1652090698480606,122.37102508544922,115.90971374511719,raw,0,1,,,0,0,59,100,60,101,5898,13,220,17, sold,., ,2,1,1,1,1,,
24,6,6,30,8189.4638671875,0.5862605571746826,112.92562103271484,123.70074462890625,raw,0,0,,,0,0,61,85,62,86,19,5898,23,220,4, sold,8, ,1,1,1,1,,
24,7,6,42,4117.30810546875,0.33960115909576416,112.92562103271484,107.3622817993164,raw,0,0,,,0,0,61,97,62,98,19,17,23,19,4,2,8,4,1,1,1,1,,
24,8,6,75,5900.7939453125,0.43997395038604736,112.92562103271484,118.76569366455078,raw,0,1,,,0,0,61,64,62,65,19,17,23,14,4,2,8,/,1,1,1,1,,
24,9,6,90,5567.09326171875,0.3726256191730499,112.92562103271484,132.30105590820312,raw,0,1,,,0,0,61,79,62,80,19,198,23,32853,4,"
",8,Working,1,1,1,1,,
24,10,9,52,7290.5908203125,0.45549094676971436,127.85902404785156,125.18479919433594,raw,0,0,,,0,0,64,107,65,108,17,303,283,5632,2, in, =, April,1,1,1,1,,
24,11,9,56,5769.509765625,0.3935575783252716,127.85902404785156,114.65665435791016,raw,0,0,,,0,0,64,111,65,112,17,13,283,198,2,., =,"
",1,1,1,1,,
24,12,9,79,3897.21728515625,0.23307862877845764,127.85902404785156,130.7738037109375,raw,0,1,,,0,0,64,68,65,69,17,28,283,15,2,=, =,0,1,1,1,1,,
24,13,9,115,6804.6259765625,0.4576251208782196,127.85902404785156,116.29552459716797,raw,0,1,,,0,0,64,104,65,105,17,15,283,28,2,0, =,=,1,1,1,1,,
24,14,13,19,7545.0888671875,0.48889514803886414,117.64289855957031,131.1846160888672,raw,0,0,,,0,0,68,74,69,75,23,2372,14,17,8,>>,/,2,1,1,1,1,,
24,15,14,17,6123.921875,0.5036292672157288,116.01850128173828,104.8072738647461,raw,0,0,,,0,0,69,72,70,73,14,17,17,19,/,2,2,4,1,1,1,1,,
24,16,15,20,6783.27734375,0.5378623604774475,114.47976684570312,110.16400146484375,raw,0,0,,,0,0,70,75,71,76,17,17,28,19,2,2,=,4,1,1,1,1,,
24,17,15,47,6572.9833984375,0.4434134364128113,114.47976684570312,129.48663330078125,raw,0,0,,,0,0,70,102,71,103,17,2372,28,22,2,>>,=,7,1,1,1,1,,
24,18,16,75,5317.22607421875,0.3567992150783539,125.478759765625,118.76569366455078,raw,0,1,,,0,0,71,64,72,65,28,17,17,14,=,2,2,/,1,1,1,1,,
24,19,16,119,7441.16845703125,0.45154649019241333,125.478759765625,131.33135986328125,raw,0,1,,,0,0,71,108,72,109,28,2372,17,16,=,>>,2,1,1,1,1,1,,
24,20,17,64,4467.19140625,0.3394271433353424,104.8072738647461,125.57308197021484,raw,0,1,,,0,0,72,53,73,54,17,61607,19,220,2, earns,4, ,1,1,1,1,,
24,21,18,25,6607.53466796875,0.4203697144985199,122.31330108642578,128.5092315673828,raw,0,0,,,0,0,73,80,74,81,19,13,2372,198,4,.,>>,"
",1,1,1,1,,
24,22,18,37,6505.59423828125,0.4887406826019287,122.31330108642578,108.82653045654297,raw,0,0,,,0,0,73,92,74,93,19,283,2372,1079,4, =,>>, <<,1,1,1,1,,
24,23,19,105,5279.85205078125,0.39855706691741943,131.1846160888672,100.98301696777344,raw,0,1,,,0,0,74,94,75,95,2372,20,17,15,>>,5,2,0,1,1,1,1,,
