layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_raw_index,right_raw_index,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_dataset,right_dataset,left_domain,right_domain
0,0,0,182,0.30882588028907776,0.44053131341934204,0.9096944332122803,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,73,44,74,45,198,25,47548,414,"
",:,Lu, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,1,1,182,-0.07105958461761475,-0.1585572361946106,0.5815609097480774,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,74,44,75,45,47548,25,28573,414,Lu,:,igi, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,2,2,182,-0.10461567342281342,-0.18489262461662292,0.7342361807823181,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,75,44,76,45,28573,25,14944,414,igi,:, Gi, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,3,3,182,-0.022916380316019058,-0.05667736008763313,0.5246806144714355,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,76,44,77,45,14944,25,5512,414, Gi,:,ura, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,4,4,182,-0.04206372797489166,-0.07738600671291351,0.705348789691925,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,77,44,78,45,5512,25,557,414,ura,:, was, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,5,5,182,0.0488918274641037,0.10821247845888138,0.5862968564033508,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,78,44,79,45,557,25,449,414, was,:, an, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,6,6,182,0.1311120092868805,0.25423645973205566,0.6692112684249878,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,79,44,80,45,449,25,449,414, an,:, an, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,7,7,182,0.1311120092868805,0.25423645973205566,0.6692112684249878,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,80,44,81,45,449,25,14382,414, an,:, Italian, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,8,8,182,-0.032649748027324677,-0.07826600223779678,0.5413339734077454,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,81,44,82,45,14382,25,22839,414, Italian,:, engineer, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,9,9,182,-0.10720174759626389,-0.22250297665596008,0.6252081990242004,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,82,44,83,45,22839,25,321,414, engineer,:, and, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,10,10,182,0.19654244184494019,0.37871986627578735,0.6734368801116943,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,83,44,84,45,321,25,174991,414, and,:, archit, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,11,11,182,-0.18494170904159546,-0.34449732303619385,0.696638822555542,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,84,44,85,45,174991,25,1514,414, archit,:,ected, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,12,12,182,-0.132589653134346,-0.23003815114498138,0.7479428052902222,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,85,44,86,45,1514,25,852,414,ected,:, who, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,13,13,182,0.011787732131779194,0.022860966622829437,0.669105052947998,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,86,44,87,45,852,25,11815,414, who,:, lived, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,14,14,182,-0.08391382545232773,-0.17164723575115204,0.6343885064125061,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,87,44,88,45,11815,25,494,414, lived,:, from, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,15,15,182,0.11503064632415771,0.22696664929389954,0.657673180103302,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,88,44,89,45,494,25,220,414, from,:, , D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,16,16,182,0.45229625701904297,0.5552262663841248,1.0570892095565796,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,89,44,90,45,220,25,16,414, ,:,1, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,17,17,182,0.2801626920700073,0.4498363137245178,0.8081917762756348,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,90,44,91,45,16,25,22,414,1,:,7, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,18,18,182,0.1690661609172821,0.33519798517227173,0.6545064449310303,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,91,44,92,45,22,25,24,414,7,:,9, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,19,19,182,0.16144530475139618,0.3140791952610016,0.6670292019844055,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,92,44,93,45,24,25,20,414,9,:,5, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,20,20,182,0.1937248259782791,0.3646264374256134,0.6894388794898987,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,93,44,94,45,20,25,310,414,5,:, to, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,21,21,182,0.18294034898281097,0.3546834886074066,0.6693097949028015,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,94,44,95,45,310,25,220,414, to,:, , D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,22,22,182,0.45229625701904297,0.5552262663841248,1.0570892095565796,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,95,44,96,45,220,25,16,414, ,:,1, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,23,23,182,0.2801626920700073,0.4498363137245178,0.8081917762756348,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,96,44,97,45,16,25,23,414,1,:,8, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,24,24,182,0.16970497369766235,0.333854615688324,0.6596230268478394,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,97,44,98,45,23,25,21,414,8,:,6, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
0,25,25,182,0.17777615785598755,0.34146445989608765,0.6755952835083008,0.7706219553947449,raw,0,1,dolly:13835,mmlu:computer_security_34,13835,34,0,0,98,44,99,45,21,25,20,414,6,:,5, D,1,1,1,1,dolly,mmlu,information_extraction,computer_security
