layer,pair_index,left_index,right_index,dot,cosine,left_norm,right_norm,metric_variant,left_sample_index,right_sample_index,left_example_id,right_example_id,left_raw_index,right_raw_index,left_sequence_index,right_sequence_index,left_hidden_pos,right_hidden_pos,left_label_pos,right_label_pos,left_input_token_id,right_input_token_id,left_label_token_id,right_label_token_id,left_input_token_str,right_input_token_str,left_label_token_str,right_label_token_str,left_hidden_attention_mask,right_hidden_attention_mask,left_label_attention_mask,right_label_attention_mask,left_dataset,right_dataset,left_domain,right_domain
0,0,0,103,34.62358856201172,1.0,5.884178161621094,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,83,38,84,39,25,25,1385,35,:,:,It,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,1,1,103,-0.16448575258255005,-0.0034296473022550344,8.150664329528809,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,84,38,85,39,1385,25,12917,35,It,:,rained,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,2,2,103,-0.4643011689186096,-0.009393295273184776,8.400322914123535,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,85,38,86,39,12917,25,1467,35,rained,:,for,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,3,3,103,0.8699148297309875,0.019975781440734863,7.400944709777832,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,86,38,87,39,1467,25,253,35,for,:,at,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,4,4,103,1.0953471660614014,0.026558319106698036,7.009150505065918,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,87,38,88,39,253,25,9261,35,at,:,otal,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,5,5,103,-0.4135668873786926,-0.007767616771161556,9.048407554626465,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,88,38,89,39,9261,25,994,35,otal,:,of,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,6,6,103,2.304287910461426,0.05266954377293587,7.435177803039551,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,89,38,90,39,994,25,18,35,of,:,3,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,7,7,103,0.49951043725013733,0.012037159875035286,7.052364349365234,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,90,38,91,39,18,25,13,35,3,:,.,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,8,8,103,4.483673095703125,0.1972450464963913,3.863154172897339,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,91,38,92,39,13,25,22,35,.,:,7,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
0,9,9,103,3.1022164821624756,0.06660467386245728,7.915558815002441,5.884178161621094,raw,0,1,gsm8k:6917,mmlu:computer_security_34,6917,34,0,0,92,38,93,39,22,25,24,35,7,:,9,D,1,1,1,1,gsm8k,mmlu,gsm8k,computer_security
