update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,loss,target_token_id
0_54,sft,0,54,0.0,1.6875,1.6328125,8.125,2.1444140625,0.95,2.564921875,1.0,1.72390625,0.9,8.138687133789062,45
0_55,sft,0,55,8.125,0.1279296875,0.0,0.0118408203125,0.0069921875,0.02,-0.00328125,0.0,0.017265625,0.04,0.011858798563480377,4306
0_56,sft,0,56,2.703125,0.0037384033203125,0.0,0.0003528594970703125,0.0067578125,0.04,0.00546875,0.06,0.008046875,0.02,0.0003526780928950757,689
0_57,sft,0,57,1.1640625,0.31640625,0.0,0.0380859375,0.017460937500000002,0.060000000000000005,0.010546875,0.02,0.024375,0.1,0.038042791187763214,6216
0_58,sft,0,58,0.5625,1.6875,0.09765625,0.349609375,0.11171875,0.5,0.078828125,0.44,0.144609375,0.56,0.34982404112815857,220
0_59,sft,0,59,0.453125,0.419921875,0.00390625,0.0595703125,0.054453125000000005,0.26,0.035546875,0.18,0.073359375,0.34,0.059586599469184875,2166
0_60,sft,0,60,0.25390625,1.1875,1.59375,6.65625,-0.1722265625,0.22,-0.091171875,0.22,-0.25328125,0.22,6.644918441772461,14
0_61,sft,0,61,3.484375,0.2060546875,0.0,0.0301513671875,0.0012890625,0.0,0.004921875,0.0,-0.00234375,0.0,0.030162161216139793,17
0_62,sft,0,62,1.75,1.015625,0.4453125,0.68359375,-0.032421875,0.16999999999999998,-0.000625,0.24,-0.06421875,0.1,0.6840080618858337,284
0_63,sft,0,63,1.2109375,0.2265625,1.9296875,4.84375,1.7862109375,0.82,1.988828125,0.82,1.58359375,0.82,4.839077472686768,1134
0_64,sft,0,64,3.03125,0.00469970703125,0.0,0.0004749298095703125,0.0080859375,0.01,0.002421875,0.0,0.01375,0.02,0.0004752936656586826,2166
0_65,sft,0,65,1.515625,0.0007171630859375,0.0,6.0558319091796875e-05,-0.0024999999999999996,0.02,-0.00640625,0.0,0.00140625,0.04,6.0794889577664435e-05,14
0_66,sft,0,66,0.7578125,7.295608520507812e-05,0.0,5.0067901611328125e-06,0.0007031250000000001,0.0,-0.00078125,0.0,0.0021875,0.0,4.887569048150908e-06,17
0_67,sft,0,67,0.37890625,1.9550323486328125e-05,0.0,1.1920928955078125e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,1.0728830375228426e-06,28
0_68,sft,0,68,0.189453125,2.1904706954956055e-06,0.0,1.1920928955078125e-07,0.0,0.0,-0.0,0.0,-0.0,0.0,1.1920928244535389e-07,1187
0_69,sft,0,69,0.0947265625,0.00421142578125,0.0,0.000438690185546875,-0.00046875,0.01,-0.005859375,0.02,0.004921875,0.0,0.0004395472351461649,2511
0_70,sft,0,70,0.047607421875,0.02197265625,0.0,0.0020751953125,0.0062890624999999995,0.02,-0.00328125,0.04,0.015859375,0.0,0.00206864345818758,1187
0_71,sft,0,71,0.0247802734375,0.494140625,0.0078125,0.080078125,0.009804687500000001,0.04,-0.00375,0.02,0.023359375,0.06,0.07995624840259552,27203
0_72,sft,0,72,0.052490234375,0.423828125,0.00390625,0.07470703125,0.0033203125,0.02,-0.0071875,0.0,0.013828125,0.04,0.07489209622144699,304
0_73,sft,0,73,0.0634765625,0.16015625,0.0,0.0274658203125,0.0016406250000000002,0.03,-0.005078125,0.02,0.008359375,0.04,0.027454892173409462,3297
0_74,sft,0,74,0.04541015625,0.96875,0.15234375,0.380859375,0.0468359375,0.25,0.016328125,0.08,0.07734375,0.42,0.3812727928161621,627
0_75,sft,0,75,0.212890625,2.609375,0.6875,1.515625,-0.0005468749999999988,0.2,-0.0359375,0.1,0.03484375,0.3,1.517289638519287,45
0_76,sft,0,76,0.86328125,0.0032501220703125,0.0,0.0002841949462890625,0.0025390625,0.03,7.8125e-05,0.02,0.005,0.04,0.00028379703871905804,4306
0_77,sft,0,77,0.431640625,0.0001735687255859375,0.0,1.2278556823730469e-05,-0.0015234375,0.01,-0.004140625,0.0,0.00109375,0.02,1.2516897186287679e-05,689
0_78,sft,0,78,0.2158203125,0.1826171875,0.0,0.021728515625,0.004765625,0.05,0.00125,0.04,0.00828125,0.06,0.021772995591163635,6216
0_79,sft,0,79,0.119140625,0.6953125,0.05859375,0.216796875,-0.002890625,0.03,-0.004609375,0.04,-0.001171875,0.02,0.2169766128063202,220
0_80,sft,0,80,0.16796875,0.375,0.01953125,0.1064453125,0.0321875,0.12,0.014296875,0.06,0.050078125,0.18,0.1062474474310875,2166
0_81,sft,0,81,0.13671875,0.474609375,1.5703125,2.265625,0.075390625,0.48000000000000004,0.098046875,0.56,0.052734375,0.4,2.2580370903015137,10
0_82,sft,0,82,1.203125,0.03857421875,0.0,0.006103515625,-0.00046875,0.01,-0.005390625,0.0,0.004453125,0.02,0.006094324868172407,1187
0_83,sft,0,83,0.60546875,0.283203125,0.01171875,0.080078125,0.0106640625,0.05,-0.00171875,0.0,0.023046875,0.1,0.08030042052268982,284
0_84,sft,0,84,0.341796875,0.2578125,0.0078125,0.058349609375,-0.009609375,0.01,-0.016953125,0.02,-0.002265625,0.0,0.058275263756513596,1134
0_85,sft,0,85,0.2001953125,3.0517578125e-05,0.0,2.1457672119140625e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,2.0265558760002023e-06,2166
0_86,sft,0,86,0.10009765625,0.000583648681640625,0.0,5.14984130859375e-05,-0.0030078125,0.03,-0.00125,0.04,-0.004765625,0.02,5.149708886165172e-05,10
0_87,sft,0,87,0.050048828125,1.2278556823730469e-05,0.0,7.152557373046875e-07,0.0,0.0,-0.0,0.0,-0.0,0.0,7.152555099310121e-07,1187
0_88,sft,0,88,0.0250244140625,6.4373016357421875e-06,0.0,2.384185791015625e-07,0.0,0.0,-0.0,0.0,-0.0,0.0,3.576278118089249e-07,28
0_89,sft,0,89,0.01251220703125,4.880130290985107e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5332
