update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,loss,target_token_id
0_55,sft,0,55,0.0,0.58984375,1.890625,10.5,0.019453125,0.1,0.03828125,0.16,0.000625,0.04,10.499567031860352,45
0_56,sft,0,56,10.5,0.00109100341796875,0.0,5.7220458984375e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,5.709961988031864e-05,4212
0_57,sft,0,57,3.5,0.000934600830078125,0.0,4.601478576660156e-05,0.0,0.0,-0.0,0.0,-0.0,0.0,4.6132929128361866e-05,685
0_58,sft,0,58,1.5,3.796875,0.087890625,0.3515625,-0.003359375,0.05,0.0057421875,0.06,-0.0124609375,0.04,0.35102373361587524,6088
0_59,sft,0,59,0.88671875,4.46875,0.78125,1.515625,-0.024853515625,0.01,-0.0271875,0.02,-0.02251953125,0.0,1.5177180767059326,220
0_60,sft,0,60,1.2109375,2.5,0.267578125,0.63671875,0.005097656250000001,0.08,0.01421875,0.14,-0.0040234375,0.02,0.6366462707519531,19
0_61,sft,0,61,0.921875,1.078125,0.015625,0.12890625,0.011503906250000001,0.08,0.0201171875,0.12,0.002890625,0.04,0.12914715707302094,23
0_62,sft,0,62,0.51953125,0.0240478515625,2.0,15.1875,-0.0007226562500000002,0.060000000000000005,0.009921875,0.1,-0.0113671875,0.02,15.157609939575195,14
0_63,sft,0,63,7.875,1.078125,0.0234375,0.140625,0.0011718750000000002,0.02,0.01140625,0.04,-0.0090625,0.0,0.14057914912700653,17
0_64,sft,0,64,4.0,7.34375,0.6875,1.59375,-0.020478515625,0.03,-0.012421875,0.04,-0.02853515625,0.02,1.5969030857086182,284
0_65,sft,0,65,2.796875,0.3984375,1.9453125,13.5625,0.04080078125,0.12,0.0476171875,0.16,0.033984375,0.08,13.547083854675293,1115
0_66,sft,0,66,8.1875,8.3125,0.5234375,1.28125,-0.020146484375000002,0.05,-0.0097265625,0.08,-0.03056640625,0.02,1.283172369003296,19
0_67,sft,0,67,4.71875,0.95703125,0.00390625,0.068359375,0.00767578125,0.03,0.014296875,0.02,0.0010546875,0.04,0.06853188574314117,23
0_68,sft,0,68,2.40625,4.84375,0.1796875,0.55078125,-0.006162109375,0.05,0.00921875,0.08,-0.02154296875,0.02,0.5489081144332886,14
0_69,sft,0,69,1.4765625,1.1171875,0.0078125,0.09375,0.0015234375,0.03,0.006953125,0.06,-0.00390625,0.0,0.09363672882318497,17
0_70,sft,0,70,0.78515625,5.5,1.1640625,7.96875,0.016953125,0.16,0.030703125,0.2,0.003203125,0.12,7.97923469543457,28
0_71,sft,0,71,4.375,0.023193359375,0.0,0.001617431640625,0.00287109375,0.02,0.0075390625,0.02,-0.001796875,0.02,0.0016185053391382098,17
0_72,sft,0,72,2.1875,0.004150390625,0.0,0.00023651123046875,0.003583984375,0.01,0.00515625,0.0,0.00201171875,0.02,0.00023636408150196075,19
0_73,sft,0,73,1.09375,2.765625,0.8515625,1.3359375,0.00361328125,0.060000000000000005,0.0149609375,0.1,-0.007734375,0.02,1.335831880569458,2452
0_74,sft,0,74,1.21875,0.310546875,1.953125,7.96875,0.0027539062499999985,0.14,0.02546875,0.2,-0.0199609375,0.08,7.959620952606201,17
0_75,sft,0,75,4.59375,0.04833984375,0.0,0.00299072265625,-0.004375,0.02,0.003203125,0.04,-0.011953125,0.0,0.0029868537094444036,19
0_76,sft,0,76,2.296875,0.01507568359375,0.0,0.00081634521484375,0.0062402343750000006,0.02,0.003046875,0.0,0.00943359375,0.04,0.0008156548719853163,26111
0_77,sft,0,77,1.1484375,0.6875,0.00390625,0.048828125,-0.00279296875,0.02,3.90625e-05,0.02,-0.005625,0.02,0.048929981887340546,304
0_78,sft,0,78,0.59765625,0.44921875,0.0,0.029296875,0.002421875,0.04,0.0025390625,0.08,0.0023046875,0.0,0.029299605637788773,3217
0_79,sft,0,79,0.314453125,2.5,0.3359375,0.69140625,0.00390625,0.04,0.0144140625,0.06,-0.0066015625,0.02,0.6903944611549377,624
0_80,sft,0,80,0.50390625,2.25,1.234375,4.28125,-0.02001953125,0.05,-0.0101171875,0.06,-0.029921875,0.04,4.273590087890625,45
0_81,sft,0,81,2.390625,0.001983642578125,0.0,0.00010013580322265625,-0.0015625,0.0,-0.003125,0.0,-0.0,0.0,9.989239333663136e-05,4212
0_82,sft,0,82,1.1953125,0.00010395050048828125,0.0,4.76837158203125e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,4.6491513785440475e-06,685
0_83,sft,0,83,0.59765625,0.5,0.0,0.0361328125,0.005771484375,0.03,0.0132421875,0.06,-0.00169921875,0.0,0.0360495001077652,6088
0_84,sft,0,84,0.31640625,1.28125,0.01171875,0.12109375,0.005048828125,0.04,0.015,0.06,-0.00490234375,0.02,0.12126096338033676,220
0_85,sft,0,85,0.21875,0.2265625,0.0,0.0191650390625,0.007119140625,0.0,0.0077734375,0.0,0.00646484375,0.0,0.019215038046240807,19
0_86,sft,0,86,0.119140625,0.1962890625,0.0,0.01519775390625,-0.000673828125,0.01,0.0048046875,0.02,-0.00615234375,0.0,0.015181939117610455,23
0_87,sft,0,87,0.0673828125,0.2734375,1.953125,6.15625,0.005390625,0.060000000000000005,0.0126953125,0.1,-0.0019140625,0.02,6.143317222595215,10
0_88,sft,0,88,3.109375,0.2099609375,0.0,0.0152587890625,0.0017968749999999999,0.03,0.011875,0.06,-0.00828125,0.0,0.015251210890710354,17
0_89,sft,0,89,1.5625,0.29296875,0.0,0.0238037109375,0.0041308593749999995,0.05,0.00640625,0.08,0.00185546875,0.02,0.023860685527324677,19
0_90,sft,0,90,0.79296875,0.71875,0.00390625,0.054931640625,0.0056738281250000005,0.07,0.0162109375,0.1,-0.00486328125,0.04,0.05492834374308586,284
0_91,sft,0,91,0.423828125,0.06396484375,0.0,0.005218505859375,-0.0025585937499999997,0.02,0.002734375,0.04,-0.0078515625,0.0,0.005207308568060398,1115
0_92,sft,0,92,0.21484375,0.421875,0.0,0.0301513671875,-0.003740234375,0.02,0.0084375,0.04,-0.01591796875,0.0,0.030119016766548157,19
0_93,sft,0,93,0.12255859375,0.1435546875,0.0,0.0120849609375,0.0003320312500000001,0.02,0.00265625,0.04,-0.0019921875,0.0,0.012077889405190945,23
0_94,sft,0,94,0.0673828125,0.1796875,0.0,0.01141357421875,-0.002666015625,0.01,-0.00078125,0.02,-0.00455078125,0.0,0.011427897028625011,10
0_95,sft,0,95,0.039306640625,0.2275390625,0.0,0.0194091796875,-0.00041015625,0.02,0.000625,0.04,-0.0014453125,0.0,0.01946830004453659,17
0_96,sft,0,96,0.0294189453125,0.1123046875,0.0,0.00762939453125,0.0009179687500000012,0.02,0.0180078125,0.04,-0.016171875,0.0,0.007617828901857138,19
0_97,sft,0,97,0.0185546875,0.032958984375,0.0,0.00201416015625,0.007939453124999999,0.05,0.014765625,0.08,0.00111328125,0.02,0.0020157035905867815,28
0_98,sft,0,98,0.01025390625,0.03955078125,0.0,0.0024261474609375,0.00560546875,0.060000000000000005,0.009296875,0.1,0.0019140625,0.02,0.002432603854686022,22
0_99,sft,0,99,0.00634765625,0.0174560546875,0.0,0.00144195556640625,0.0025390624999999997,0.01,0.004453125,0.02,0.000625,0.0,0.0014402027009055018,17
0_100,sft,0,100,0.0038909912109375,1.4375,0.7578125,1.0546875,0.001640625,0.05,0.0057421875,0.04,-0.0024609375,0.06,1.0534493923187256,2452
