update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,loss,target_token_id
0_56,sft,0,56,0.0,1.109375,1.71875,4.96875,0.523359375,0.7,0.4378125,0.66,0.60890625,0.74,4.967493534088135,45
0_57,sft,0,57,4.96875,0.6953125,0.0078125,0.09130859375,-0.18359375,0.03,-0.204375,0.0,-0.1628125,0.06,0.09140215814113617,4073
0_58,sft,0,58,1.71875,0.01409912109375,0.0,0.001556396484375,-0.0015624999999999999,0.08,0.000625,0.1,-0.00375,0.06,0.001553520211018622,667
0_59,sft,0,59,0.73828125,0.333984375,0.0,0.042236328125,0.015859375000000002,0.1,0.0153125,0.1,0.01640625,0.1,0.042345721274614334,5898
0_60,sft,0,60,0.3671875,1.3671875,1.0,1.421875,-0.44062500000000004,0.30000000000000004,-0.63875,0.28,-0.2425,0.32,1.4245785474777222,220
0_61,sft,0,61,0.91015625,1.546875,0.400390625,0.80078125,1.1085937499999998,0.97,1.1925,1.0,1.0246875,0.94,0.7992482781410217,19
0_62,sft,0,62,0.8515625,0.142578125,0.0,0.0184326171875,0.020390625000000002,0.13,0.035,0.18,0.00578125,0.08,0.018471254035830498,23
0_63,sft,0,63,0.43359375,2.609375,1.125,4.125,-0.37078125,0.23,-0.50328125,0.18,-0.23828125,0.28,4.134268283843994,14
0_64,sft,0,64,2.296875,0.921875,0.08203125,0.279296875,-0.19687500000000002,0.02,-0.23421875,0.04,-0.15953125,0.0,0.2789728045463562,17
0_65,sft,0,65,1.28125,1.6015625,0.1484375,0.4375,-0.3121875,0.0,-0.3809375,0.0,-0.2434375,0.0,0.4376054108142853,283
0_66,sft,0,66,0.859375,0.255859375,1.9375,9.25,2.9524218749999998,1.0,3.02875,1.0,2.87609375,1.0,9.281024932861328,1079
0_67,sft,0,67,5.0625,3.71875,1.1015625,3.34375,-0.744609375,0.03,-0.87828125,0.02,-0.6109375,0.04,3.344130516052246,19
0_68,sft,0,68,4.1875,0.46484375,0.00390625,0.07080078125,0.039296875,0.29000000000000004,0.05265625,0.3,0.0259375,0.28,0.07083608955144882,23
0_69,sft,0,69,2.140625,0.89453125,0.02734375,0.1650390625,0.10953125,0.54,0.13015625,0.62,0.08890625,0.46,0.1649474799633026,14
0_70,sft,0,70,1.1484375,0.03369140625,0.0,0.0037994384765625,0.0078125,0.11,0.01296875,0.12,0.00265625,0.1,0.003802689490839839,17
0_71,sft,0,71,0.578125,1.5625,0.208984375,0.51171875,0.471796875,0.8300000000000001,0.6009375,0.9,0.34265625,0.76,0.5130175948143005,28
0_72,sft,0,72,0.54296875,0.28515625,0.0,0.043212890625,0.005156249999999999,0.09,0.0090625,0.06,0.00125,0.12,0.04316559061408043,17
0_73,sft,0,73,0.29296875,0.02294921875,0.0,0.00225830078125,0.008359375,0.13,0.014375,0.16,0.00234375,0.1,0.0022586092818528414,19
0_74,sft,0,74,0.1484375,1.03125,0.03515625,0.189453125,-0.1178125,0.0,-0.12625,0.0,-0.109375,0.0,0.18978992104530334,2372
0_75,sft,0,75,0.1689453125,1.7578125,0.81640625,1.4140625,-1.2359375,0.06,-1.4559375,0.04,-1.0159375,0.08,1.417326807975769,17
0_76,sft,0,76,0.79296875,0.015625,0.0,0.001434326171875,-0.008906250000000001,0.05,-0.00953125,0.04,-0.00828125,0.06,0.0014352031284943223,19
0_77,sft,0,77,0.396484375,0.55859375,0.0078125,0.0810546875,-0.013046875,0.060000000000000005,-0.00265625,0.1,-0.0234375,0.02,0.08101611584424973,25277
0_78,sft,0,78,0.23828125,0.609375,0.0078125,0.1025390625,0.021953124999999997,0.18,0.03203125,0.2,0.011875,0.16,0.10276252776384354,303
0_79,sft,0,79,0.1708984375,0.80859375,0.333984375,0.5390625,0.48390625,0.9299999999999999,0.4459375,0.92,0.521875,0.94,0.5396288633346558,3114
0_80,sft,0,80,0.35546875,1.234375,0.150390625,0.40625,0.10484375,0.47000000000000003,0.1153125,0.54,0.094375,0.4,0.40593594312667847,13
0_81,sft,0,81,0.380859375,2.453125,0.30078125,0.734375,0.63578125,1.0,0.669375,1.0,0.6021875,1.0,0.7333097457885742,198
0_82,sft,0,82,0.55859375,2.875,0.5390625,1.1953125,-0.279140625,0.06999999999999999,-0.35359375,0.02,-0.2046875,0.12,1.192605972290039,45
0_83,sft,0,83,0.875,0.006927490234375,0.0,0.00058746337890625,-0.009921875,0.04,-0.0,0.08,-0.01984375,0.0,0.0005887205479666591,4073
0_84,sft,0,84,0.439453125,0.000400543212890625,0.0,2.944469451904297e-05,-0.0006249999999999999,0.02,-0.0028125,0.0,0.0015625,0.04,2.9444261599564925e-05,667
0_85,sft,0,85,0.2197265625,0.23046875,0.0,0.031982421875,0.013437500000000002,0.11,0.01703125,0.1,0.00984375,0.12,0.03208236023783684,5898
0_86,sft,0,86,0.1259765625,0.498046875,0.00390625,0.07421875,0.01515625,0.1,0.01734375,0.14,0.01296875,0.06,0.07441360503435135,220
0_87,sft,0,87,0.10009765625,0.7265625,0.5,0.69921875,0.13359375,0.6100000000000001,0.11359375,0.54,0.15359375,0.68,0.6979529857635498,19
0_88,sft,0,88,0.400390625,0.004791259765625,0.0,0.0004367828369140625,0.001015625,0.08,-0.0003125,0.08,0.00234375,0.08,0.0004357342259027064,23
0_89,sft,0,89,0.2001953125,1.453125,0.76171875,1.2578125,0.1621875,0.62,0.2315625,0.7,0.0928125,0.54,1.257816195487976,10
0_90,sft,0,90,0.73046875,0.08642578125,0.0,0.01043701171875,0.01046875,0.12000000000000001,0.02,0.14,0.0009375,0.1,0.010459722951054573,17
0_91,sft,0,91,0.369140625,0.007080078125,0.0,0.000652313232421875,0.0023437500000000003,0.07,0.01359375,0.1,-0.00890625,0.04,0.0006515049026347697,19
0_92,sft,0,92,0.185546875,0.361328125,0.0078125,0.0712890625,0.0027343750000000003,0.07,0.0125,0.14,-0.00703125,0.0,0.0712839886546135,283
0_93,sft,0,93,0.1279296875,0.71484375,0.125,0.298828125,0.28335937499999997,0.81,0.36078125,0.86,0.2059375,0.76,0.2995995581150055,1079
0_94,sft,0,94,0.2138671875,0.279296875,0.0078125,0.0673828125,-0.06953125,0.03,-0.05734375,0.02,-0.08171875,0.04,0.0675974190235138,19
0_95,sft,0,95,0.140625,0.0033721923828125,0.0,0.0003032684326171875,0.00421875,0.08,0.01140625,0.14,-0.00296875,0.02,0.00030357998912222683,23
0_96,sft,0,96,0.0703125,0.3203125,0.015625,0.09228515625,-0.04671875,0.04,-0.05109375,0.02,-0.04234375,0.06,0.09218887984752655,10
0_97,sft,0,97,0.08154296875,0.0081787109375,0.0,0.000743865966796875,0.006640625,0.1,0.01203125,0.12,0.00125,0.08,0.0007456144667230546,17
0_98,sft,0,98,0.041015625,0.00171661376953125,0.0,0.0001430511474609375,0.007109375,0.05,0.01046875,0.04,0.00375,0.06,0.00014280252798926085,19
0_99,sft,0,99,0.0206298828125,0.033935546875,0.0,0.0032958984375,0.004609375,0.06,0.01109375,0.08,-0.001875,0.04,0.003289884887635708,28
0_100,sft,0,100,0.011962890625,0.03466796875,0.0,0.0037384033203125,-0.009140625,0.03,-0.01078125,0.02,-0.0075,0.04,0.003733451943844557,22
0_101,sft,0,101,0.0078125,0.00131988525390625,0.0,9.822845458984375e-05,0.010781250000000001,0.07,0.016875,0.08,0.0046875,0.06,9.810443589231e-05,17
0_102,sft,0,102,0.00396728515625,0.140625,0.0,0.0172119140625,0.026484375,0.18,0.03546875,0.22,0.0175,0.14,0.01723245158791542,2372
0_103,sft,0,103,0.0106201171875,0.06591796875,0.0,0.0081787109375,-0.004921875,0.08,-0.005625,0.08,-0.00421875,0.08,0.008208585903048515,22
0_104,sft,0,104,0.0093994140625,0.0006866455078125,0.0,5.125999450683594e-05,0.00031249999999999984,0.01,-0.00484375,0.0,0.00546875,0.02,5.125868119648658e-05,17
0_105,sft,0,105,0.004730224609375,0.031982421875,0.0,0.00341796875,0.016171875,0.14,0.0225,0.16,0.00984375,0.12,0.003418674925342202,25277
0_106,sft,0,106,0.004058837890625,0.9375,0.89453125,1.1953125,-0.55328125,0.19,-0.70890625,0.12,-0.39765625,0.26,1.1982431411743164,29071
0_107,sft,0,107,0.6015625,0.7265625,0.08984375,0.2578125,0.113984375,0.53,0.1321875,0.62,0.09578125,0.44,0.25778281688690186,303
0_108,sft,0,108,0.4296875,0.048583984375,0.0,0.00543212890625,0.017734375,0.09000000000000001,0.03296875,0.14,0.0025,0.04,0.005420273635536432,5632
0_109,sft,0,109,0.216796875,0.0223388671875,0.0,0.002288818359375,0.0022656250000000003,0.06,0.0003125,0.04,0.00421875,0.08,0.002283705398440361,321
0_110,sft,0,110,0.10986328125,0.01116943359375,0.0,0.0010223388671875,0.002734375,0.11,0.005,0.12,0.00046875,0.1,0.0010247938334941864,3114
0_111,sft,0,111,0.055419921875,0.83203125,0.11328125,0.298828125,-0.22148437499999998,0.01,-0.2771875,0.0,-0.16578125,0.02,0.2979559004306793,13
0_112,sft,0,112,0.1767578125,0.765625,0.11328125,0.291015625,0.053125,0.34,0.0546875,0.34,0.0515625,0.34,0.290127694606781,198
0_113,sft,0,113,0.234375,1.2734375,0.1171875,0.3359375,0.27,0.71,0.34640625,0.78,0.19359375,0.64,0.3354627788066864,794
0_114,sft,0,114,0.28515625,1.8359375,1.2890625,3.375,6.988671875,1.0,6.8125,1.0,7.16484375,1.0,3.3717310428619385,220
0_115,sft,0,115,1.828125,1.1328125,0.2109375,0.466796875,0.244375,0.6699999999999999,0.206875,0.64,0.281875,0.7,0.4676278829574585,22
0_116,sft,0,116,1.1484375,0.0264892578125,0.0,0.002777099609375,0.0035937499999999997,0.05,0.00140625,0.06,0.00578125,0.04,0.002776816952973604,17
1_51,sft,1,51,0.0,0.6640625,1.8359375,7.21875,0.6425000000000001,0.76,0.560625,0.72,0.724375,0.8,7.21636438369751,54
1_52,sft,1,52,7.21875,1.046875,0.02734375,0.171875,-0.385,0.0,-0.4465625,0.0,-0.3234375,0.0,0.17230089008808136,800
1_53,sft,1,53,2.515625,0.96875,0.33984375,0.5625,0.595234375,0.8,0.6784375,0.8,0.51203125,0.8,0.5606462955474854,61607
1_54,sft,1,54,1.3984375,0.703125,1.75,3.984375,1.000703125,0.9,0.9925,0.92,1.00890625,0.88,3.9905409812927246,220
1_55,sft,1,55,2.78125,1.9296875,0.365234375,0.828125,0.26125,0.67,0.30015625,0.66,0.22234375,0.68,0.8292810916900635,16
