update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,f_avg_high_school_physics,f_ratio_high_school_physics,f_avg_computer_security,f_ratio_computer_security,f_avg_international_law,f_ratio_international_law,f_avg_moral_disputes,f_ratio_moral_disputes,f_avg_high_school_us_history,f_ratio_high_school_us_history,f_avg_clinical_knowledge,f_ratio_clinical_knowledge,loss,target_token_id
0_55,sft,0,55,0.0,0.0031072692945599556,1.9993175268173218,20.375,0.00018934249877929858,0.24750000000000005,0.008798828125,0.48,0.219111328125,0.58,0.1827508544921875,0.34,-0.16106788635253907,0.18,-0.02486652374267578,0.14,-0.179356689453125,0.08,-0.050347480773925785,0.06,0.0064923095703125,0.12,20.312841415405273,45
0_56,sft,0,56,20.375,0.0017226514173671603,0.0,0.00016307830810546875,0.0037270069122314455,0.057499999999999996,-0.00576171875,0.1,0.004755859375,0.06,0.0071173095703125,0.08,-0.000503692626953125,0.04,0.013971214294433593,0.08,0.010626220703125,0.06,-0.005518379211425781,0.04,0.005129241943359375,0.0,0.0001627074379939586,4212
0_57,sft,0,57,6.791775226593018,7.985509728314355e-05,0.0,5.7220458984375e-06,-3.509521484375e-06,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.8076171875e-05,0.0,-0.0,0.0,5.722029527532868e-06,685
0_58,sft,0,58,2.910764217376709,0.0023730085231363773,1.1920928955078125e-07,0.00022983551025390625,-0.002615723609924316,0.07750000000000001,-0.02416015625,0.1,0.0023291015625,0.14,-0.0058197021484375,0.08,-0.010461502075195313,0.06,0.012355194091796876,0.08,0.00389678955078125,0.12,-0.003178749084472656,0.02,0.0041132354736328125,0.02,0.00022968991834204644,6088
0_59,sft,0,59,1.3584791421890259,0.35060402750968933,0.023026227951049805,0.11376953125,0.0033949613571166992,0.08500000000000002,0.01404296875,0.2,-0.0047265625,0.1,0.005911865234375,0.12,0.007325515747070312,0.06,0.011052780151367188,0.08,-0.0076165771484375,0.02,0.0010071182250976562,0.06,0.0001625823974609375,0.04,0.1139904037117958,220
0_60,sft,0,60,0.7160484194755554,0.0001522835809737444,0.0,1.2040138244628906e-05,-0.0002048301696777344,0.005,0.0055859375,0.02,-0.00390625,0.0,-0.002890625,0.0,-0.000810546875,0.0,0.003364105224609375,0.02,0.0011474609375,0.0,-0.00464141845703125,0.0,0.0005126953125,0.0,1.2040065485052764e-05,19
0_61,sft,0,61,0.35234740376472473,1.422279893859013e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,23
0_62,sft,0,62,0.1747864931821823,0.009823995642364025,1.9963246583938599,7.25,-0.14760435104370118,0.1225,-0.4629296875,0.1,-0.2930615234375,0.14,-0.1697119140625,0.14,-0.09619941711425781,0.06,-0.04217502593994141,0.12,-0.0657403564453125,0.2,-0.036012916564941405,0.16,-0.01500396728515625,0.06,7.25112771987915,14
0_63,sft,0,63,3.7262661457061768,2.9001313350818236e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,17
0_64,sft,0,64,1.8594870567321777,0.0018739727092906833,1.1920928955078125e-07,0.00019073486328125,0.0039387989044189445,0.08750000000000002,0.007373046875,0.18,0.010859375,0.14,0.003609619140625,0.12,0.015255203247070312,0.1,0.0049886322021484375,0.04,0.0002313232421875,0.06,-0.005411911010742188,0.02,-0.0053948974609375,0.04,0.00019047829846385866,284
0_65,sft,0,65,0.9289301633834839,2.3516075088991784e-05,1.9999964237213135,15.375,-0.008131961822509765,0.275,-0.211171875,0.26,0.101845703125,0.62,0.043536376953125,0.38,-0.004554824829101562,0.26,0.018520927429199217,0.14,-0.07505859375,0.2,0.03313426971435547,0.12,0.02869232177734375,0.22,15.375001907348633,1115
0_66,sft,0,66,8.15549373626709,1.735374826239422e-05,0.0,1.0728836059570312e-06,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0728830375228426e-06,19
0_67,sft,0,67,4.076751232147217,5.074383579994901e-07,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,23
