update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,f_avg_high_school_physics,f_ratio_high_school_physics,f_avg_computer_security,f_ratio_computer_security,f_avg_international_law,f_ratio_international_law,f_avg_moral_disputes,f_ratio_moral_disputes,f_avg_high_school_us_history,f_ratio_high_school_us_history,f_avg_clinical_knowledge,f_ratio_clinical_knowledge,loss,target_token_id
0_56,sft,0,56,0.0,1.109375,1.71875,4.96875,0.10776367187500001,0.47500000000000003,0.4378125,0.66,0.60890625,0.74,0.531484375,0.64,-0.443671875,0.22,-0.59390625,0.02,0.07515625,0.48,0.100546875,0.5,0.14578125,0.54,4.967493534088135,45
0_57,sft,0,57,4.96875,0.6953125,0.0078125,0.09130859375,-0.138701171875,0.0625,-0.204375,0.0,-0.1628125,0.06,-0.023203125,0.2,-0.219609375,0.02,-0.2521875,0.02,-0.09640625,0.06,-0.05484375,0.08,-0.096171875,0.06,0.09140215814113617,4073
0_58,sft,0,58,1.71875,0.01409912109375,0.0,0.001556396484375,-0.011884765625,0.037500000000000006,0.000625,0.1,-0.00375,0.06,-0.01328125,0.04,-0.027421875,0.0,-0.031875,0.0,-0.001015625,0.06,-0.0003125,0.02,-0.018046875,0.02,0.001553520211018622,667
0_59,sft,0,59,0.73828125,0.333984375,0.0,0.042236328125,0.00040039062500000014,0.07500000000000001,0.0153125,0.1,0.01640625,0.1,-0.0021875,0.08,-0.001484375,0.04,-0.00796875,0.08,0.009140625,0.12,-0.009609375,0.06,-0.01640625,0.02,0.042345721274614334,5898
0_60,sft,0,60,0.3671875,1.3671875,1.0,1.421875,-0.6156079101562499,0.14,-0.63875,0.28,-0.2425,0.32,-0.312578125,0.26,-1.2396484375,0.02,-1.237109375,0.0,-0.30234375,0.12,-0.3221484375,0.08,-0.62978515625,0.04,1.4245785474777222,220
0_61,sft,0,61,0.91015625,1.546875,0.400390625,0.80078125,0.878935546875,0.8550000000000001,1.1925,1.0,1.0246875,0.94,1.134609375,0.96,0.652265625,0.76,0.85546875,0.86,0.7171875,0.74,0.509296875,0.72,0.94546875,0.86,0.7992482781410217,19
0_62,sft,0,62,0.8515625,0.142578125,0.0,0.0184326171875,-0.0006249999999999997,0.065,0.035,0.18,0.00578125,0.08,-0.0121875,0.08,-0.02140625,0.02,0.00609375,0.08,-0.00140625,0.06,0.00421875,0.02,-0.02109375,0.0,0.018471254035830498,23
0_63,sft,0,63,0.43359375,2.609375,1.125,4.125,-0.21170898437500002,0.3025,-0.50328125,0.18,-0.23828125,0.28,-0.255390625,0.26,-0.2925,0.3,-0.3196875,0.24,-0.03671875,0.38,0.127421875,0.52,-0.175234375,0.26,4.134268283843994,14
0_64,sft,0,64,2.296875,0.921875,0.08203125,0.279296875,-0.22505859375,0.0325,-0.23421875,0.04,-0.15953125,0.0,-0.1828125,0.0,-0.38578125,0.02,-0.33109375,0.0,-0.182265625,0.08,-0.09,0.1,-0.234765625,0.02,0.2789728045463562,17
0_65,sft,0,65,1.28125,1.6015625,0.1484375,0.4375,-0.23983398437499998,0.0025,-0.3809375,0.0,-0.2434375,0.0,-0.215703125,0.0,-0.32140625,0.0,-0.258125,0.0,-0.19078125,0.0,-0.088984375,0.02,-0.219296875,0.0,0.4376054108142853,283
0_66,sft,0,66,0.859375,0.255859375,1.9375,9.25,3.0283496093749998,1.0,3.02875,1.0,2.87609375,1.0,3.01890625,1.0,3.058828125,1.0,2.783125,1.0,3.5071875,1.0,2.965546875,1.0,2.988359375,1.0,9.281024932861328,1079
0_67,sft,0,67,5.0625,3.71875,1.1015625,3.34375,-0.6649462890625001,0.05750000000000001,-0.87828125,0.02,-0.6109375,0.04,-0.581015625,0.06,-0.9539453125,0.04,-0.938203125,0.0,-0.517578125,0.12,-0.1815625,0.16,-0.658046875,0.02,3.344130516052246,19
0_68,sft,0,68,4.1875,0.46484375,0.00390625,0.07080078125,0.002705078125,0.12250000000000001,0.05265625,0.3,0.0259375,0.28,-0.02453125,0.06,-0.0028125,0.12,-0.00828125,0.02,-0.008671875,0.1,0.017109375,0.1,-0.029765625,0.0,0.07083608955144882,23
0_69,sft,0,69,2.140625,0.89453125,0.02734375,0.1650390625,0.035458984374999995,0.27999999999999997,0.13015625,0.62,0.08890625,0.46,-0.01234375,0.16,0.036875,0.22,0.0175,0.22,-0.012109375,0.16,0.042109375,0.26,-0.007421875,0.14,0.1649474799633026,14
0_70,sft,0,70,1.1484375,0.03369140625,0.0,0.0037994384765625,-0.0025,0.0575,0.01296875,0.12,0.00265625,0.1,-0.0046875,0.06,0.004140625,0.02,-0.0109375,0.04,-0.0040625,0.08,-0.001640625,0.04,-0.0184375,0.0,0.003802689490839839,17
0_71,sft,0,71,0.578125,1.5625,0.208984375,0.51171875,0.31369140624999997,0.72,0.6009375,0.9,0.34265625,0.76,0.10078125,0.54,0.305703125,0.72,0.42609375,0.84,0.18234375,0.6,0.398125,0.82,0.152890625,0.58,0.5130175948143005,28
